"id","instrial","latency_bin","key","binmedian","npress","nreward","switch","bincenter","curkey","tdiff"
7,1,"[ 100, 150)",0,NA,0,0,0,125,1,125
7,1,"[ 150, 200)",0,NA,0,0,0,175,1,175
7,1,"[ 200, 250)",0,NA,0,0,0,225,1,225
7,1,"[ 250, 300)",0,NA,0,0,0,275,1,275
7,1,"[ 300, 350)",0,NA,0,0,0,325,1,325
7,1,"[ 350, 400)",0,NA,0,0,0,375,1,375
7,1,"[ 400, 450)",0,NA,0,0,0,425,1,425
7,1,"[ 450, 500)",0,NA,0,0,0,475,1,475
7,1,"[ 500, 550)",0,NA,0,0,0,525,1,525
7,1,"[ 550, 600)",0,NA,0,0,0,575,1,575
7,1,"[ 600, 650)",0,NA,0,0,0,625,1,625
7,1,"[ 650, 700)",0,NA,0,0,0,675,1,675
7,1,"[ 700, 750)",0,NA,0,0,0,725,1,725
7,1,"[ 750, 800)",0,NA,0,0,0,775,1,775
7,1,"[ 800, 850)",0,NA,0,0,0,825,1,825
7,1,"[ 850, 900)",0,NA,0,0,0,875,1,875
7,1,"[ 900, 950)",0,NA,0,0,0,925,1,925
7,1,"[ 950,1000)",0,NA,0,0,0,975,1,975
7,1,"[1000,1050)",0,NA,0,0,0,1025,1,1025
7,1,"[1050,1100)",0,NA,0,0,0,1075,1,1075
7,1,"[1100,1150)",0,NA,0,0,0,1125,1,1125
7,1,"[1150,1200)",0,NA,0,0,0,1175,1,1175
7,1,"[1200,1250)",0,NA,0,0,0,1225,1,1225
7,1,"[1250,1300)",0,NA,0,0,0,1275,1,1275
7,1,"[1300,1350)",0,NA,0,0,0,1325,1,1325
7,1,"[1350,1400)",0,NA,0,0,0,1375,1,1375
7,1,"[1400,1450)",0,NA,0,0,0,1425,1,1425
7,1,"[1450,1500)",0,NA,0,0,0,1475,1,1475
7,1,"[1500,1550)",0,NA,0,0,0,1525,1,1525
7,1,"[1550,1600)",0,NA,0,0,0,1575,1,1575
7,1,"[1600,1650)",0,NA,0,0,0,1625,1,1625
7,1,"[1650,1700)",0,NA,0,0,0,1675,1,1675
7,1,"[1700,1750)",0,NA,0,0,0,1725,1,1725
7,1,"[1750,1800)",0,NA,0,0,0,1775,1,1775
7,1,"[1800,1850)",0,NA,0,0,0,1825,1,1825
7,1,"[1850,1900)",0,NA,0,0,0,1875,1,1875
7,1,"[1900,1950)",0,NA,0,0,0,1925,1,1925
7,1,"[1950,2000)",0,NA,0,0,0,1975,1,1975
7,1,"[2000,2050)",0,NA,0,0,0,2025,1,2025
7,1,"[2050,2100)",0,NA,0,0,0,2075,1,2075
7,1,"[2100,2150)",0,NA,0,0,0,2125,1,2125
7,1,"[2150,2200)",0,NA,0,0,0,2175,1,2175
7,1,"[2200,2250)",0,NA,0,0,0,2225,1,2225
7,1,"[2250,2300)",0,NA,0,0,0,2275,1,2275
7,1,"[2300,2350)",0,NA,0,0,0,2325,1,2325
7,1,"[2350,2400)",0,NA,0,0,0,2375,1,2375
7,1,"[2400,2450)",0,NA,0,0,0,2425,1,2425
7,1,"[2450,2500)",0,NA,0,0,0,2475,1,2475
7,1,"[2500,2550)",0,NA,0,0,0,2525,1,2525
7,1,"[2550,2600)",0,NA,0,0,0,2575,1,2575
7,1,"[2600,2650)",0,NA,0,0,0,2625,1,2625
7,1,"[2650,2700)",0,NA,0,0,0,2675,1,2675
7,1,"[2700,2750)",0,NA,0,0,0,2725,1,2725
7,1,"[2750,2800)",1,2768.15597875975,1,0,0,2775,1,2768.15597875975
7,1,"[2800,2850)",0,NA,0,0,0,2825,1,56.8440212402502
7,1,"[2850,2900)",0,NA,0,0,0,2875,1,106.84402124025
7,1,"[2900,2950)",0,NA,0,0,0,2925,1,156.84402124025
7,1,"[2950,3000)",1,2984.90999569185,1,0,0,2975,1,216.7540169321
7,1,"[3000,3050)",0,NA,0,0,0,3025,1,40.0900043081501
7,1,"[3050,3100)",0,NA,0,0,0,3075,1,90.0900043081501
7,1,"[3100,3150)",0,NA,0,0,0,3125,1,140.09000430815
7,1,"[3150,3200)",1,3168.1947153993,1,0,0,3175,1,183.28471970745
7,1,"[3200,3250)",0,NA,0,0,0,3225,1,56.8052846006999
7,1,"[3250,3300)",0,NA,0,0,0,3275,1,106.8052846007
7,1,"[3300,3350)",0,NA,0,0,0,3325,1,156.8052846007
7,1,"[3350,3400)",1,3368.1490260642,1,0,0,3375,1,199.9543106649
7,1,"[3400,3450)",0,NA,0,0,0,3425,1,56.8509739358001
7,1,"[3450,3500)",0,NA,0,0,0,3475,1,106.8509739358
7,1,"[3500,3550)",0,NA,0,0,0,3525,1,156.8509739358
7,1,"[3550,3600)",1,3584.65274586342,1,0,0,3575,1,216.50371979922
7,1,"[3600,3650)",0,NA,0,0,0,3625,1,40.34725413658
7,1,"[3650,3700)",0,NA,0,0,0,3675,1,90.34725413658
7,1,"[3700,3750)",0,NA,0,0,0,3725,1,140.34725413658
7,1,"[3750,3800)",1,3767.93779665604,1,0,0,3775,1,183.28505079262
7,1,"[3800,3850)",0,NA,0,0,0,3825,1,57.0622033439599
7,1,"[3850,3900)",0,NA,0,0,0,3875,1,107.06220334396
7,1,"[3900,3950)",0,NA,0,0,0,3925,1,157.06220334396
7,1,"[3950,4000)",1,3967.80139114708,1,0,0,3975,1,199.86359449104
7,1,"[4000,4050)",0,NA,0,0,0,4025,1,57.1986088529202
7,1,"[4050,4100)",0,NA,0,0,0,4075,1,107.19860885292
