"id","alpha","gamma","nu","beta","cost","kappa"
1,0.140837386287686,2.225379822513,0.0179549034219235,0.858670666958026,0.938583370065317,10.5397338847638
2,0.205199976720628,2.77391747481788,0.684756385395303,0.977234236955916,2.74380841758102,10.1842271131262
3,0.279610351569635,1.80830393760656,0.781659213127568,1.1496099211999,1.40954960603267,8.07627634865464
4,0.11469509333295,2.11509800706088,2.71756519982591,1.02290655413348,2.99687220063061,10.5414062637187
5,0.296103420288397,2.06147605944246,1.66531191207469,0.992806034610485,2.17873815237544,9.55219052376197
6,0.704789130276023,1.41250451068087,1.36407340108417,1.01505944225186,1.60239478759468,9.85633818280114
7,0.595840575960425,4.44248056140682,1.18917046696879,0.9243177992651,1.45030845422298,9.28722882173403
8,0.286552720427317,3.13809240656037,1.72212711512111,1.00706071079894,2.75497200270183,10.5475451395756
9,0.369322606929925,6.10716236234293,1.33195758587681,0.908233288749715,1.93708656169474,12.3328564398986
10,0.108151102619614,1.92417125504706,1.34013118618168,1.02391764166251,1.85635718191043,8.51065854907264
11,0.224141979295511,6.15294364354011,0.602948962245136,0.964359244177818,2.17585941147991,11.3854129181086
12,0.248629387899831,3.74953784565884,1.33070056582801,0.932845846557285,1.45591458817944,9.01342252337869
13,0.27107063414542,0.449999905440189,1.4689320679754,1.0897658667876,1.88525737076998,9.78331662982789
14,0.188084952221401,3.78391847726613,1.66293873963878,1.10089711111228,0.785101192072034,10.984042259909
15,0.058759075630241,1.76307660645239,0.150145230581984,1.26565798997302,1.88396133785136,11.3126871491289
16,0.101174848494891,1.84447557253404,0.505843205144629,0.963269823750537,1.38767619850114,9.9491755817966
17,0.157346521845184,3.23036456922432,2.90555081167258,1.075175436642,0.227477908367291,10.0748213029771
18,0.298790758294197,8.17071096852941,0.553986301878467,1.11017212574711,0.623030967079103,9.74566402582161
19,0.408093303298458,1.33919771322883,0.262166673084721,0.967641877528783,1.79639124800451,10.3002693110813
20,0.142930939151367,2.45108721169856,0.213609427213669,0.932829071098464,1.87337733549066,9.54847234738553
