"id","instrial","latency_bin","key","binmedian","npress","nreward","switch","bincenter","curkey","tdiff"
63,1,"[   0,  50)",0,NA,0,0,0,25,1,25
63,1,"[  50, 100)",1,75,1,1,0,75,1,75
63,1,"[ 100, 150)",0,NA,0,0,0,125,1,50
63,1,"[ 150, 200)",0,NA,0,0,0,175,1,100
63,1,"[ 200, 250)",0,NA,0,0,0,225,1,150
63,1,"[ 250, 300)",0,NA,0,0,0,275,1,200
63,1,"[ 300, 350)",1,325,1,0,0,325,1,250
63,1,"[ 350, 400)",0,NA,0,0,0,375,1,50
63,1,"[ 400, 450)",1,425,1,1,0,425,1,100
63,1,"[ 450, 500)",0,NA,0,0,0,475,1,50
63,1,"[ 500, 550)",0,NA,0,0,0,525,1,100
63,1,"[ 550, 600)",1,575,1,0,0,575,1,150
63,1,"[ 600, 650)",0,NA,0,0,0,625,1,50
63,1,"[ 650, 700)",0,NA,0,0,0,675,1,100
63,1,"[ 700, 750)",0,NA,0,0,0,725,1,150
63,1,"[ 750, 800)",0,NA,0,0,0,775,1,200
63,1,"[ 800, 850)",1,825,1,0,0,825,1,250
63,1,"[ 850, 900)",0,NA,0,0,0,875,1,50
63,1,"[ 900, 950)",0,NA,0,0,0,925,1,100
63,1,"[ 950,1000)",0,NA,0,0,0,975,1,150
63,1,"[1000,1050)",0,NA,0,0,0,1025,1,200
63,1,"[1050,1100)",0,NA,0,0,0,1075,1,250
63,1,"[1100,1150)",2,1125,1,1,1,1125,2,300
63,1,"[1150,1200)",0,NA,0,0,0,1175,2,50
63,1,"[1200,1250)",0,NA,0,0,0,1225,2,100
63,1,"[1250,1300)",0,NA,0,0,0,1275,2,150
63,1,"[1300,1350)",1,1325,1,0,1,1325,1,200
63,1,"[1350,1400)",0,NA,0,0,0,1375,1,50
63,1,"[1400,1450)",0,NA,0,0,0,1425,1,100
63,1,"[1450,1500)",2,1475,1,0,1,1475,2,150
63,1,"[1500,1550)",0,NA,0,0,0,1525,2,50
63,1,"[1550,1600)",0,NA,0,0,0,1575,2,100
63,1,"[1600,1650)",0,NA,0,0,0,1625,2,150
63,1,"[1650,1700)",0,NA,0,0,0,1675,2,200
63,1,"[1700,1750)",2,1725,1,1,0,1725,2,250
63,1,"[1750,1800)",0,NA,0,0,0,1775,2,50
63,1,"[1800,1850)",0,NA,0,0,0,1825,2,100
63,1,"[1850,1900)",0,NA,0,0,0,1875,2,150
63,1,"[1900,1950)",0,NA,0,0,0,1925,2,200
63,1,"[1950,2000)",0,NA,0,0,0,1975,2,250
63,1,"[2000,2050)",2,2025,1,0,0,2025,2,300
63,1,"[2050,2100)",2,2075,1,1,0,2075,2,50
63,1,"[2100,2150)",2,2125,1,1,0,2125,2,50
63,1,"[2150,2200)",0,NA,0,0,0,2175,2,50
63,1,"[2200,2250)",2,2225,1,0,0,2225,2,100
63,1,"[2250,2300)",0,NA,0,0,0,2275,2,50
63,1,"[2300,2350)",0,NA,0,0,0,2325,2,100
63,1,"[2350,2400)",2,2375,1,1,0,2375,2,150
63,1,"[2400,2450)",0,NA,0,0,0,2425,2,50
63,1,"[2450,2500)",0,NA,0,0,0,2475,2,100
63,1,"[2500,2550)",0,NA,0,0,0,2525,2,150
63,1,"[2550,2600)",0,NA,0,0,0,2575,2,200
63,1,"[2600,2650)",0,NA,0,0,0,2625,2,250
63,1,"[2650,2700)",2,2675,1,1,0,2675,2,300
63,1,"[2700,2750)",2,2725,1,1,0,2725,2,50
63,1,"[2750,2800)",0,NA,0,0,0,2775,2,50
63,1,"[2800,2850)",0,NA,0,0,0,2825,2,100
63,1,"[2850,2900)",2,2875,1,0,0,2875,2,150
63,1,"[2900,2950)",0,NA,0,0,0,2925,2,50
63,1,"[2950,3000)",2,2975,1,0,0,2975,2,100
63,1,"[3000,3050)",0,NA,0,0,0,3025,2,50
63,1,"[3050,3100)",0,NA,0,0,0,3075,2,100
63,1,"[3100,3150)",0,NA,0,0,0,3125,2,150
63,1,"[3150,3200)",0,NA,0,0,0,3175,2,200
